id,product_code,product_weight_kg,fat_content,shelf_visibility,product_category,product_price,store_code,store_age_years,store_size,store_location_tier,store_format,total_sales
row_00047,PRD-P2S2O8,10.8,Low Fat,0.0229,Fruits and Vegetables,55.11,STORE-YLW,35,Small,Tier_1,Standard Supermarket,434.23
row_00048,PRD-ONGWUL,13.273,Low Fat,0.0406,household,255.41,STORE-OYG,25,,Tier_2,Standard Supermarket,3395.84
row_00050,PRD-8MX1EV,19.18,Low Fat,0.0147,Soft Drinks,51.69,STORE-OYG,25,,Tier_2,Standard Supermarket,915.3
row_00051,PRD-0FOH3H,14.28,Regular,0.0291,Dairy,142.14,STORE-AGY,45,Large,Tier_3,Standard Supermarket,3147.38
row_00052,PRD-8Q2Y4P,8.764,Regular,0.067,breakfast,54.58,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,682.75
row_00053,PRD-KFRZWZ,,Low Fat,0.1239,Meat,53.67,STORE-T5G,47,Small,Tier_1,Corner Shop,312.81
row_00054,PRD-08I4W0,5.916,Low Fat,0.0792,Baking Goods,37.81,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,551.33
row_00055,PRD-4EYNIN,7.09,Low Fat,0.0791,Household,120.27,STORE-DKU,30,,Tier_2,Standard Supermarket,1508.35
row_00058,PRD-5R5L6R,6.555,Low Fat,0.0837,Frozen Foods,38.87,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,708.47
row_00059,PRD-UWE98S,7.621,Low Fat,0.0314,Frozen Foods,246.84,STORE-OYG,25,,Tier_2,Standard Supermarket,2697.04
row_00061,PRD-4CK9XH,12.451,Low Fat,0.1737,Household,169.29,STORE-JOR,34,,Tier_3,Corner Shop,166.62
row_00062,PRD-U02KQN,19.18,Low Fat,0.0263,HEALTH AND HYGIENE,147.39,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1326.0
row_00063,PRD-RACGN7,,Low Fat,0.0571,Health and Hygiene,78.4,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,243.24
row_00064,PRD-IS25HB,,Low Fat,0.0,Soft Drinks,124.36,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,2425.1
row_00065,PRD-I3MWRM,16.69,Low Fat,0.0332,MEAT,162.93,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2781.85
row_00066,PRD-FVHC3D,,Low Fat,0.0729,Seafood,34.86,STORE-9RG,28,Small,Tier_2,Standard Supermarket,860.12
row_00067,PRD-1FT8J9,12.044,Low Fat,0.1446,Health and Hygiene,226.84,STORE-9RG,28,Small,Tier_2,Standard Supermarket,5075.98
row_00068,PRD-7MFP05,13.907,Low Fat,0.0347,soft drinks,39.85,STORE-9RG,28,Small,Tier_2,Standard Supermarket,785.78
row_00069,PRD-ULF5VL,5.676,Regular,0.0,Snack Foods,261.26,STORE-OYG,25,,Tier_2,Standard Supermarket,2506.74
row_00070,PRD-EPMKVT,19.59,Low Fat,0.0736,HEALTH AND HYGIENE,60.89,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1368.79
row_00071,PRD-YUZ87C,,Low Fat,0.0478,Baking Goods,151.04,STORE-T5G,47,Small,Tier_1,Corner Shop,144.06
row_00072,PRD-D9DSYZ,14.405,Low Fat,0.0619,Household,250.9,STORE-9RG,28,Small,Tier_2,Standard Supermarket,4664.21
row_00073,PRD-S57TCO,5.483,Regular,0.0505,Baking Goods,130.41,STORE-DKU,30,,Tier_2,Standard Supermarket,1261.85
row_00074,PRD-5I0GQM,18.504,Low Fat,0.1466,Breakfast,98.01,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1460.81
row_00075,PRD-7G23CP,8.884,Low Fat,0.0804,CANNED,77.8,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1298.22
row_00076,PRD-UJA86V,,Low Fat,0.1194,Canned,87.7,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1952.05
row_00077,PRD-FTNWN0,17.711,Low Fat,0.0,Breads,91.54,STORE-DKU,30,,Tier_2,Standard Supermarket,2233.42
row_00078,PRD-1ZUYZY,9.031,Regular,0.0458,fruits and vegetables,174.82,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1322.14
row_00080,PRD-SNF69T,9.157,Low Fat,0.0,Household,54.3,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,572.48
row_00081,PRD-RDEXW2,,Regular,0.0558,meat,144.58,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3219.23
row_00083,PRD-BJD8BL,,Regular,0.0,Breads,85.12,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3126.13
row_00084,PRD-93OBAJ,8.128,Regular,0.0,Snack Foods,175.34,STORE-YLW,35,Small,Tier_1,Standard Supermarket,3970.56
row_00086,PRD-78ZC9Y,16.766,Low Fat,0.0566,Dairy,214.18,STORE-DKU,30,,Tier_2,Standard Supermarket,5062.54
row_00087,PRD-FUST21,5.421,Regular,0.1159,BAKING GOODS,87.2,STORE-OYG,25,,Tier_2,Standard Supermarket,1466.16
row_00088,PRD-CHPZ5T,18.844,Low Fat,0.0175,Health and Hygiene,205.61,STORE-DKU,30,,Tier_2,Standard Supermarket,2716.71
row_00089,PRD-VKXTUF,,Low Fat,0.023,Fruits and Vegetables,97.52,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3934.3
row_00090,PRD-ZOID71,,Regular,0.0881,fruits and vegetables,225.97,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1488.0
row_00092,PRD-VP8H4N,8.533,Low Fat,0.0938,Canned,53.71,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1246.98
row_00093,PRD-6IUUKZ,10.933,Regular,0.0342,frozen foods,146.84,STORE-OYG,25,,Tier_2,Standard Supermarket,1888.59
row_00094,PRD-1UFH01,8.91,Regular,0.0832,snack foods,48.39,STORE-DKU,30,,Tier_2,Standard Supermarket,1109.47
row_00095,PRD-YZB4K8,17.373,Regular,0.0172,Fruits and Vegetables,48.83,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1128.22
row_00096,PRD-NY1QEG,9.136,Low Fat,0.0363,frozen foods,61.56,STORE-AGY,45,Large,Tier_3,Standard Supermarket,374.51
row_00097,PRD-EVZUBR,17.349,Low Fat,0.058,Frozen Foods,42.98,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,280.77
row_00098,PRD-2MR4FX,17.486,Low Fat,0.0182,Health and Hygiene,97.88,STORE-HL7,23,Medium,Tier_3,Superstore,1286.97
row_00099,PRD-1N8MTZ,19.413,Low Fat,0.0421,Dairy,44.58,STORE-JOR,34,,Tier_3,Corner Shop,47.21
row_00100,PRD-NKZGGE,13.66,Low Fat,0.0954,SNACK FOODS,151.97,STORE-OYG,25,,Tier_2,Standard Supermarket,3637.37
row_00101,PRD-1DSTWG,7.435,Low Fat,0.1465,Fruits and Vegetables,240.42,STORE-9RG,28,Small,Tier_2,Standard Supermarket,1735.6
row_00102,PRD-N5F62D,18.006,Low Fat,0.0134,FROZEN FOODS,255.56,STORE-HL7,23,Medium,Tier_3,Superstore,3686.12
row_00103,PRD-UP0URE,12.211,Regular,0.0746,dairy,48.8,STORE-DKU,30,,Tier_2,Standard Supermarket,844.84
row_00106,PRD-AECEW6,16.386,Regular,0.0083,meat,70.84,STORE-OYG,25,,Tier_2,Standard Supermarket,716.68
row_00107,PRD-3KI24S,17.395,Low Fat,0.0165,Household,177.44,STORE-OYG,25,,Tier_2,Standard Supermarket,3739.88
row_00108,PRD-JZZGKE,10.607,Regular,0.0485,Dairy,46.93,STORE-YLW,35,Small,Tier_1,Standard Supermarket,578.16
row_00110,PRD-3UEA3G,15.576,Low Fat,0.1591,Dairy,37.05,STORE-YLW,35,Small,Tier_1,Standard Supermarket,623.16
row_00111,PRD-7IOABT,7.48,Low Fat,0.0867,Frozen Foods,144.11,STORE-OYG,25,,Tier_2,Standard Supermarket,3261.9
row_00112,PRD-O0V3Z0,20.2,Regular,0.1031,Canned,93.59,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1961.44
row_00113,PRD-2X720K,,Regular,0.053,Fruits and Vegetables,87.27,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,995.49
row_00114,PRD-1GXI9D,,Low Fat,0.065,FROZEN FOODS,181.19,STORE-T5G,47,Small,Tier_1,Corner Shop,185.03
row_00116,PRD-SE05IT,,Low Fat,0.058,Baking Goods,239.05,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,6745.85
row_00118,PRD-JJ4AL0,19.396,Low Fat,0.0419,Frozen Foods,111.52,STORE-OYG,25,,Tier_2,Standard Supermarket,2197.34
row_00121,PRD-0RH735,19.53,Low Fat,0.1888,Others,240.8,STORE-YLW,35,Small,Tier_1,Standard Supermarket,3291.28
row_00122,PRD-8NY9QX,17.181,Low Fat,0.1446,SNACK FOODS,149.82,STORE-DKU,30,,Tier_2,Standard Supermarket,2542.37
row_00124,PRD-4CYXQB,17.936,Low Fat,0.112,SNACK FOODS,184.51,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,4911.57
row_00126,PRD-2EZP7V,12.766,Low Fat,0.0329,Health and Hygiene,101.7,STORE-JOR,34,,Tier_3,Corner Shop,206.34
row_00127,PRD-UZET1P,13.252,Low Fat,0.0366,FRUITS AND VEGETABLES,170.03,STORE-9RG,28,Small,Tier_2,Standard Supermarket,3700.27
row_00128,PRD-LZBZ98,18.435,Low Fat,0.1631,health and hygiene,43.87,STORE-9RG,28,Small,Tier_2,Standard Supermarket,793.55
row_00129,PRD-YDT7CU,14.256,Regular,0.0641,Breads,261.85,STORE-OYG,25,,Tier_2,Standard Supermarket,6891.46
row_00131,PRD-IE2L2F,21.019,Low Fat,0.0374,Frozen Foods,75.79,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2354.43
row_00133,PRD-1HOH9O,14.478,Low Fat,0.0259,Household,204.53,STORE-DKU,30,,Tier_2,Standard Supermarket,3771.21
row_00135,PRD-M58TL5,,Low Fat,0.051,Frozen Foods,54.96,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1120.28
row_00136,PRD-TT69UA,7.509,Low Fat,0.0501,Canned,121.22,STORE-DKU,30,,Tier_2,Standard Supermarket,372.75
row_00137,PRD-MSK8AG,18.193,Low Fat,0.0,dairy,187.28,STORE-AGY,45,Large,Tier_3,Standard Supermarket,2803.67
row_00138,PRD-H4CI9H,6.715,Regular,0.0,MEAT,173.46,STORE-OYG,25,,Tier_2,Standard Supermarket,4356.0
row_00140,PRD-P3WJRM,,Low Fat,0.0337,Fruits and Vegetables,199.66,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,6227.02
row_00142,PRD-7CZE3S,7.372,Low Fat,0.0142,Meat,114.95,STORE-HL7,23,Medium,Tier_3,Superstore,1779.63
row_00143,PRD-M3FQUK,9.115,Regular,0.0213,SNACK FOODS,155.39,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,2449.63
row_00145,PRD-EBEM2I,12.42,Regular,0.1014,FRUITS AND VEGETABLES,168.87,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2499.05
row_00146,PRD-48PPNK,19.411,Low Fat,0.0159,Health and Hygiene,133.98,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,3139.66
row_00147,PRD-ZN1N5R,12.006,Regular,0.0335,Meat,198.96,STORE-9RG,28,Small,Tier_2,Standard Supermarket,3195.63
row_00148,PRD-12310X,8.348,Low Fat,0.0148,health and hygiene,182.18,STORE-DKU,30,,Tier_2,Standard Supermarket,2867.62
row_00149,PRD-7TV5ZK,7.03,Regular,0.1341,CANNED,113.25,STORE-OYG,25,,Tier_2,Standard Supermarket,3085.94
row_00150,PRD-FF5E8I,,Low Fat,0.0683,Soft Drinks,180.97,STORE-T5G,47,Small,Tier_1,Corner Shop,184.24
row_00151,PRD-IGBM76,9.755,Regular,0.0459,BAKING GOODS,37.48,STORE-YLW,35,Small,Tier_1,Standard Supermarket,737.01
row_00152,PRD-MWWJPG,13.009,Low Fat,0.1565,Canned,79.3,STORE-HL7,23,Medium,Tier_3,Superstore,1199.85
row_00153,PRD-HC0BPN,10.488,Regular,0.0572,fruits and vegetables,187.82,STORE-OYG,25,,Tier_2,Standard Supermarket,6922.78
row_00154,PRD-C2W953,17.489,Regular,0.0685,Snack Foods,92.8,STORE-JOR,34,,Tier_3,Corner Shop,198.35
row_00155,PRD-X7CODR,,Low Fat,0.0149,Household,102.74,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1804.48
row_00156,PRD-WTXI27,,Low Fat,0.1305,Dairy,72.89,STORE-T5G,47,Small,Tier_1,Corner Shop,77.28
row_00157,PRD-DH02YH,10.239,Low Fat,0.0375,fruits and vegetables,248.96,STORE-AGY,45,Large,Tier_3,Standard Supermarket,7282.29
row_00158,PRD-2OQEWF,18.016,Low Fat,0.0347,OTHERS,129.81,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1866.97
row_00159,PRD-WJRNZT,16.82,Low Fat,0.0406,household,166.17,STORE-DKU,30,,Tier_2,Standard Supermarket,1295.84
row_00160,PRD-WU16HY,,Low Fat,0.187,Dairy,43.61,STORE-T5G,47,Small,Tier_1,Corner Shop,125.45
row_00161,PRD-74W4G2,15.839,Regular,0.0159,Frozen Foods,96.87,STORE-DKU,30,,Tier_2,Standard Supermarket,1093.52
row_00163,PRD-RYI0M7,10.286,Low Fat,0.0748,frozen foods,122.93,STORE-YLW,35,Small,Tier_1,Standard Supermarket,843.09
row_00164,PRD-9QWB0H,,Low Fat,0.0242,BREADS,104.57,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1981.4
row_00165,PRD-AV3JCJ,17.612,Regular,0.1199,breakfast,42.25,STORE-HL7,23,Medium,Tier_3,Superstore,198.97
row_00166,PRD-B9UOE3,,Low Fat,0.1617,Snack Foods,181.51,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,5603.33
row_00167,PRD-NMRS5Y,8.178,Low Fat,0.0,baking goods,94.07,STORE-HL7,23,Medium,Tier_3,Superstore,647.35
row_00168,PRD-QWRZFX,6.586,Regular,0.0064,BAKING GOODS,118.14,STORE-HL7,23,Medium,Tier_3,Superstore,1414.6
row_00169,PRD-K9LSG4,20.883,Low Fat,0.0537,SNACK FOODS,118.62,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1884.91
row_00170,PRD-2LYWBI,,Low Fat,0.156,Snack Foods,91.51,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3801.19
row_00171,PRD-KSF4HT,11.816,Low Fat,0.0336,SEAFOOD,113.26,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1662.15
row_00172,PRD-F88JRF,18.676,Regular,0.0634,FROZEN FOODS,146.35,STORE-HL7,23,Medium,Tier_3,Superstore,2030.62
row_00173,PRD-PWKCZV,,Low Fat,0.0312,Fruits and Vegetables,226.03,STORE-T5G,47,Small,Tier_1,Corner Shop,446.31
row_00174,PRD-A0IOEJ,8.074,Low Fat,0.0111,CANNED,193.3,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1877.98
row_00175,PRD-YUXGFA,,Regular,0.0374,SNACK FOODS,109.83,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1428.31
row_00176,PRD-YVZMZC,8.093,Low Fat,0.1141,HOUSEHOLD,103.92,STORE-HL7,23,Medium,Tier_3,Superstore,2500.23
row_00177,PRD-3HGG9C,20.645,Low Fat,0.0964,Household,183.27,STORE-DKU,30,,Tier_2,Standard Supermarket,3687.75
row_00178,PRD-LKS9L3,6.179,Regular,0.0519,Baking Goods,231.15,STORE-DKU,30,,Tier_2,Standard Supermarket,4318.28
row_00179,PRD-US5PUY,14.35,Low Fat,0.069,Fruits and Vegetables,48.02,STORE-YLW,35,Small,Tier_1,Standard Supermarket,848.18
row_00180,PRD-D9DSYZ,14.908,Low Fat,0.1001,HOUSEHOLD,260.63,STORE-JOR,34,,Tier_3,Corner Shop,1830.37
row_00181,PRD-2QPR75,14.061,Low Fat,0.1593,Dairy,55.03,STORE-JOR,34,,Tier_3,Corner Shop,215.7
row_00182,PRD-PQNOMP,16.953,Low Fat,0.0572,BAKING GOODS,96.66,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1580.04
row_00183,PRD-W10HOA,,Low Fat,0.0424,SNACK FOODS,95.34,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,2866.92
row_00184,PRD-6BH3LL,17.94,Low Fat,0.0785,Baking Goods,111.11,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2509.35
row_00185,PRD-YZSJHT,,Regular,0.0216,BREADS,104.6,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3091.16
row_00186,PRD-1GXI9D,13.222,Low Fat,0.0598,Frozen Foods,177.97,STORE-JOR,34,,Tier_3,Corner Shop,184.57
row_00187,PRD-CU4YYJ,15.513,Low Fat,0.0798,CANNED,38.05,STORE-OYG,25,,Tier_2,Standard Supermarket,766.14
row_00188,PRD-R3PE29,,Low Fat,0.1776,SOFT DRINKS,150.8,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1808.1
row_00190,PRD-OEVB9O,6.24,Low Fat,0.0282,soft drinks,85.11,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1334.36
row_00191,PRD-JMV47T,6.335,Regular,0.0102,meat,152.3,STORE-DKU,30,,Tier_2,Standard Supermarket,2400.39
row_00193,PRD-741NWE,9.695,Regular,0.1438,Baking Goods,49.26,STORE-YLW,35,Small,Tier_1,Standard Supermarket,838.54
row_00194,PRD-C5BV1L,14.883,Low Fat,0.0,Household,104.93,STORE-9RG,28,Small,Tier_2,Standard Supermarket,3519.17
row_00195,PRD-H0JJGG,19.212,Low Fat,0.1083,FROZEN FOODS,106.68,STORE-AGY,45,Large,Tier_3,Standard Supermarket,948.34
row_00196,PRD-MN8Z1H,11.217,Low Fat,0.0,Health and Hygiene,146.93,STORE-OYG,25,,Tier_2,Standard Supermarket,2435.01
row_00197,PRD-GV2TFK,7.076,Low Fat,0.0445,Health and Hygiene,101.01,STORE-DKU,30,,Tier_2,Standard Supermarket,1919.37
row_00198,PRD-6852FC,12.413,Low Fat,0.0161,Hard Drinks,175.85,STORE-HL7,23,Medium,Tier_3,Superstore,913.35
row_00199,PRD-4RZCNO,6.192,Low Fat,0.0283,Household,112.17,STORE-OYG,25,,Tier_2,Standard Supermarket,1277.51
row_00200,PRD-1ZL2WT,13.636,Regular,0.0431,FRUITS AND VEGETABLES,157.97,STORE-OYG,25,,Tier_2,Standard Supermarket,5783.12
row_00201,PRD-BVGKP7,16.027,Regular,0.0,Fruits and Vegetables,97.59,STORE-OYG,25,,Tier_2,Standard Supermarket,850.06
row_00204,PRD-L6HYC1,7.008,Regular,0.0,Snack Foods,100.1,STORE-OYG,25,,Tier_2,Standard Supermarket,3298.71
row_00205,PRD-C5OAOO,7.565,Low Fat,0.1226,OTHERS,141.84,STORE-DKU,30,,Tier_2,Standard Supermarket,2411.51
row_00206,PRD-NNQFKP,15.274,Low Fat,0.1134,SOFT DRINKS,38.49,STORE-DKU,30,,Tier_2,Standard Supermarket,1153.01
row_00207,PRD-OGP0MY,9.277,Regular,0.0539,Baking Goods,77.61,STORE-AGY,45,Large,Tier_3,Standard Supermarket,814.66
row_00209,PRD-VW2RFX,6.419,Low Fat,0.0543,DAIRY,183.85,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,3658.16
row_00211,PRD-0MUOHU,16.838,Low Fat,0.0561,breads,82.64,STORE-OYG,25,,Tier_2,Standard Supermarket,563.26
row_00212,PRD-YHVNT3,9.335,Low Fat,0.0408,Others,88.14,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1039.19
row_00213,PRD-V5WMKZ,6.373,Low Fat,0.0658,Breakfast,130.5,STORE-HL7,23,Medium,Tier_3,Superstore,541.32
row_00214,PRD-OGP0MY,9.147,Regular,0.05,Baking Goods,79.45,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,886.31
row_00215,PRD-24Z860,,Regular,0.0206,frozen foods,91.81,STORE-T5G,47,Small,Tier_1,Corner Shop,263.91
row_00216,PRD-R0T4EX,12.515,Low Fat,0.0718,starchy foods,268.54,STORE-9RG,28,Small,Tier_2,Standard Supermarket,4974.75
row_00217,PRD-NKZGGE,,Low Fat,0.0,Snack Foods,147.42,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,4992.06
row_00218,PRD-X272HP,4.482,Low Fat,0.0698,Soft Drinks,111.86,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1466.86
row_00219,PRD-O69WEZ,,Regular,0.0075,dairy,149.51,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,4301.63
row_00221,PRD-ETAGHN,6.667,Regular,0.0228,Snack Foods,204.07,STORE-DKU,30,,Tier_2,Standard Supermarket,2187.53
row_00222,PRD-T0VKG3,,Low Fat,0.0479,HOUSEHOLD,126.18,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,7078.04
row_00223,PRD-V3ISY0,11.241,Low Fat,0.0096,Health and Hygiene,50.53,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,928.71
row_00224,PRD-JKU72H,16.636,Low Fat,0.1071,Canned,98.28,STORE-HL7,23,Medium,Tier_3,Superstore,1852.98
row_00225,PRD-8449K6,,Regular,0.0761,fruits and vegetables,212.55,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,7367.73
row_00226,PRD-C5BDFU,6.335,Low Fat,0.0321,DAIRY,177.69,STORE-AGY,45,Large,Tier_3,Standard Supermarket,4289.55
row_00227,PRD-RDW6ET,8.992,Regular,0.0724,Fruits and Vegetables,192.77,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1359.58
row_00228,PRD-RVU8FI,14.557,Low Fat,0.1913,Soft Drinks,82.41,STORE-HL7,23,Medium,Tier_3,Superstore,1193.34
row_00229,PRD-HEZ5ED,,Low Fat,0.0,Hard Drinks,173.74,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,6010.58
row_00230,PRD-1FT8J9,12.148,Low Fat,0.1392,Health and Hygiene,227.69,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1774.4
row_00231,PRD-IVLU4E,16.764,Low Fat,0.0136,OTHERS,105.82,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1940.13
row_00232,PRD-OIT2UR,8.299,Regular,0.032,CANNED,151.02,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,3921.34
row_00233,PRD-JLD0TT,12.497,Low Fat,0.0243,DAIRY,35.98,STORE-OYG,25,,Tier_2,Standard Supermarket,506.45
row_00234,PRD-IMZXFQ,6.893,Low Fat,0.0234,FROZEN FOODS,256.22,STORE-OYG,25,,Tier_2,Standard Supermarket,1520.21
